pokedex_number,name,status,species,height,weight,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,generation,type_number,type_1,type_2,egg_type_number,egg_type_1,egg_type_2
181,Ampharos,Normal,Light Pokémon,1.4,61.5,2,Static,,Plus,510,90,75,85,115,90,55,45.0,70.0,230.0,Medium Slow,50.0,20.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,Electric,,2,Field,Monster
181,Mega Ampharos,Normal,Light Pokémon,1.4,61.5,1,Mold Breaker,,,610,90,95,105,165,110,45,45.0,70.0,275.0,Medium Slow,50.0,20.0,1.0,0.5,0.5,0.25,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,2,2,Electric,Dragon,2,Field,Monster
182,Bellossom,Normal,Flower Pokémon,0.41,5.8,2,Chlorophyll,,Healer,490,75,80,95,90,100,50,45.0,70.0,221.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,Grass,,1,Grass,
183,Marill,Normal,Aqua Mouse Pokémon,0.41,8.5,3,Thick Fat,Huge Power,Sap Sipper,250,70,20,50,20,50,40,190.0,70.0,88.0,Fast,50.0,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,2,2,Water,Fairy,2,Fairy,Water 1
184,Azumarill,Normal,Aqua Rabbit Pokémon,0.79,28.5,3,Thick Fat,Huge Power,Sap Sipper,420,100,50,80,60,80,50,75.0,70.0,189.0,Fast,50.0,10.0,1.0,0.25,0.5,2.0,2.0,0.25,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,2,2,Water,Fairy,2,Fairy,Water 1
185,Sudowoodo,Normal,Imitation Pokémon,1.19,38.0,3,Sturdy,Rock Head,Rattled,410,70,100,115,30,65,30,65.0,70.0,144.0,Medium Fast,50.0,20.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1,Rock,,1,Mineral,
186,Politoed,Normal,Frog Pokémon,1.09,33.9,3,Water Absorb,Damp,Drizzle,500,90,75,75,90,100,70,45.0,70.0,225.0,Medium Slow,50.0,20.0,1.0,0.5,0.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,Water,,1,Water 1,
187,Hoppip,Normal,Cottonweed Pokémon,0.41,0.5,3,Chlorophyll,Leaf Guard,Infiltrator,250,35,35,40,35,55,50,255.0,70.0,50.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2,Grass,Flying,2,Fairy,Grass
188,Skiploom,Normal,Cottonweed Pokémon,0.61,1.0,3,Chlorophyll,Leaf Guard,Infiltrator,340,55,45,50,45,65,80,120.0,70.0,119.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2,Grass,Flying,2,Fairy,Grass
189,Jumpluff,Normal,Cottonweed Pokémon,0.79,3.0,3,Chlorophyll,Leaf Guard,Infiltrator,460,75,55,70,55,95,110,45.0,70.0,207.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2,Grass,Flying,2,Fairy,Grass
190,Aipom,Normal,Long Tail Pokémon,0.79,11.5,3,Run Away,Pickup,Skill Link,360,55,70,55,40,55,85,45.0,70.0,72.0,Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Field,
191,Sunkern,Normal,Seed Pokémon,0.3,1.8,3,Chlorophyll,Solar Power,Early Bird,180,30,30,30,30,30,30,235.0,70.0,36.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,Grass,,1,Grass,
192,Sunflora,Normal,Sun Pokémon,0.79,8.5,3,Chlorophyll,Solar Power,Early Bird,425,75,75,55,105,85,30,120.0,70.0,149.0,Medium Slow,50.0,20.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,Grass,,1,Grass,
193,Yanma,Normal,Clear Wing Pokémon,1.19,38.0,3,Speed Boost,Compound Eyes,Frisk,390,65,65,45,75,45,95,75.0,70.0,78.0,Medium Fast,50.0,20.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,2,2,Bug,Flying,1,Bug,
194,Wooper,Normal,Water Fish Pokémon,0.41,8.5,3,Damp,Water Absorb,Unaware,210,55,45,45,25,25,15,255.0,70.0,42.0,Medium Fast,50.0,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,2,2,Water,Ground,2,Field,Water 1
195,Quagsire,Normal,Water Fish Pokémon,1.4,75.0,3,Damp,Water Absorb,Unaware,430,95,85,85,65,65,35,90.0,70.0,151.0,Medium Fast,50.0,20.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,2,2,Water,Ground,2,Field,Water 1
196,Espeon,Normal,Sun Pokémon,0.89,26.5,2,Synchronize,,Magic Bounce,525,65,65,60,130,95,110,45.0,70.0,184.0,Medium Fast,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2,1,Psychic,,1,Field,
197,Umbreon,Normal,Moonlight Pokémon,0.99,27.0,2,Synchronize,,Inner Focus,525,95,65,110,60,130,65,45.0,35.0,184.0,Medium Fast,87.5,35.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,2,1,Dark,,1,Field,
198,Murkrow,Normal,Darkness Pokémon,0.51,2.1,3,Insomnia,Super Luck,Prankster,405,60,85,42,85,42,91,30.0,35.0,81.0,Medium Slow,50.0,20.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,2,2,Dark,Flying,1,Flying,
199,Slowking,Normal,Royal Pokémon,2.01,79.5,3,Oblivious,Own Tempo,Regenerator,490,95,75,80,100,110,30,70.0,70.0,172.0,Medium Fast,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,2,2,Water,Psychic,2,Monster,Water 1
199,Galarian Slowking,Normal,Hexpert Pokémon,1.8,79.5,3,Curious Medicine,Own Tempo,Regenerator,490,95,65,80,110,110,30,70.0,70.0,,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,8,2,Poison,Psychic,2,Monster,Water 1
200,Misdreavus,Normal,Screech Pokémon,0.71,1.0,1,Levitate,,,435,60,60,60,85,85,85,45.0,35.0,87.0,Fast,50.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,2,1,Ghost,,1,Amorphous,
201,Unown,Normal,Symbol Pokémon,0.51,5.0,1,Levitate,,,336,48,72,48,72,48,48,225.0,70.0,118.0,Medium Fast,,40.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2,1,Psychic,,1,Undiscovered,
202,Wobbuffet,Normal,Patient Pokémon,1.3,28.5,2,Shadow Tag,,Telepathy,405,190,33,58,33,58,33,45.0,70.0,142.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2,1,Psychic,,1,Amorphous,
203,Girafarig,Normal,Long Neck Pokémon,1.5,41.5,3,Inner Focus,Early Bird,Sap Sipper,455,70,80,65,90,65,85,60.0,70.0,159.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,2,2,Normal,Psychic,1,Field,
204,Pineco,Normal,Bagworm Pokémon,0.61,7.2,2,Sturdy,,Overcoat,290,50,65,90,35,35,15,190.0,70.0,58.0,Medium Fast,50.0,20.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2,1,Bug,,1,Bug,
205,Forretress,Normal,Bagworm Pokémon,1.19,125.8,2,Sturdy,,Overcoat,465,75,90,140,60,60,40,75.0,70.0,163.0,Medium Fast,50.0,20.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2,2,Bug,Steel,1,Bug,
206,Dunsparce,Normal,Land Snake Pokémon,1.5,14.0,3,Serene Grace,Run Away,Rattled,415,100,70,70,65,65,45,190.0,70.0,145.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Field,
207,Gligar,Normal,FlyScorpion Pokémon,1.09,64.8,3,Hyper Cutter,Sand Veil,Immunity,430,65,75,105,35,65,85,60.0,70.0,86.0,Medium Slow,50.0,20.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2,2,Ground,Flying,1,Bug,
208,Steelix,Normal,Iron Snake Pokémon,9.19,400.0,3,Rock Head,Sturdy,Sheer Force,510,75,85,200,55,65,30,25.0,70.0,179.0,Medium Fast,50.0,25.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,2,2,Steel,Ground,1,Mineral,
208,Mega Steelix,Normal,Iron Snake Pokémon,10.49,740.0,1,Sand Force,,,610,75,125,230,55,95,30,25.0,70.0,214.0,Medium Fast,50.0,25.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5,2,2,Steel,Ground,1,Mineral,
209,Snubbull,Normal,Fairy Pokémon,0.61,7.8,3,Intimidate,Run Away,Rattled,300,60,80,50,40,40,30,190.0,70.0,60.0,Fast,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,2,1,Fairy,,2,Fairy,Field
210,Granbull,Normal,Fairy Pokémon,1.4,48.7,3,Intimidate,Quick Feet,Rattled,450,90,120,75,60,60,45,75.0,70.0,158.0,Fast,25.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,2,1,Fairy,,2,Fairy,Field
211,Qwilfish,Normal,Balloon Pokémon,0.51,3.9,3,Poison Point,Swift Swim,Intimidate,440,65,95,85,55,55,85,45.0,70.0,88.0,Medium Fast,50.0,20.0,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,2,2,Water,Poison,1,Water 2,
212,Scizor,Normal,Pincer Pokémon,1.8,118.0,3,Swarm,Technician,Light Metal,500,70,130,100,55,80,65,25.0,70.0,175.0,Medium Fast,50.0,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2,2,Bug,Steel,1,Bug,
212,Mega Scizor,Normal,Pincer Pokémon,2.01,125.0,1,Technician,,,600,70,150,140,65,100,75,25.0,70.0,210.0,Medium Fast,50.0,25.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2,2,Bug,Steel,1,Bug,
213,Shuckle,Normal,Mold Pokémon,0.61,20.5,3,Sturdy,Gluttony,Contrary,505,20,10,230,10,230,5,190.0,70.0,177.0,Medium Slow,50.0,20.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2,Bug,Rock,1,Bug,
214,Heracross,Normal,Single Horn Pokémon,1.5,54.0,3,Swarm,Guts,Moxie,500,80,125,75,40,95,85,45.0,70.0,175.0,Slow,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2,2,Bug,Fighting,1,Bug,
214,Mega Heracross,Normal,Single Horn Pokémon,1.7,62.5,1,Skill Link,,,600,80,185,115,40,105,75,45.0,70.0,210.0,Slow,50.0,25.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2,2,Bug,Fighting,1,Bug,
215,Sneasel,Normal,Sharp Claw Pokémon,0.89,28.0,3,Inner Focus,Keen Eye,Pickpocket,430,55,95,55,35,75,115,60.0,35.0,86.0,Medium Slow,50.0,20.0,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0,2,2,Dark,Ice,1,Field,
216,Teddiursa,Normal,Little Bear Pokémon,0.61,8.8,3,Pickup,Quick Feet,Honey Gather,330,60,80,50,50,50,40,120.0,70.0,66.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Field,
217,Ursaring,Normal,Hibernator Pokémon,1.8,125.8,3,Guts,Quick Feet,Unnerve,500,90,130,75,75,75,55,60.0,70.0,175.0,Medium Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Field,
218,Slugma,Normal,Lava Pokémon,0.71,35.0,3,Magma Armor,Flame Body,Weak Armor,250,40,40,40,70,40,20,190.0,70.0,50.0,Medium Fast,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2,1,Fire,,1,Amorphous,
219,Magcargo,Normal,Lava Pokémon,0.79,55.0,3,Magma Armor,Flame Body,Weak Armor,430,60,50,120,90,80,30,75.0,70.0,151.0,Medium Fast,50.0,20.0,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,2,2,Fire,Rock,1,Amorphous,
220,Swinub,Normal,Pig Pokémon,0.41,6.5,3,Oblivious,Snow Cloak,Thick Fat,250,50,50,40,30,30,50,225.0,70.0,50.0,Slow,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,2,Ice,Ground,1,Field,
221,Piloswine,Normal,Swine Pokémon,1.09,55.8,3,Oblivious,Snow Cloak,Thick Fat,450,100,100,80,60,60,50,75.0,70.0,158.0,Slow,50.0,20.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,2,Ice,Ground,1,Field,
222,Corsola,Normal,Coral Pokémon,0.61,5.0,3,Hustle,Natural Cure,Regenerator,410,65,55,95,65,95,35,60.0,70.0,144.0,Fast,25.0,20.0,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,Water,Rock,2,Water 1,Water 3
222,Galarian Corsola,Normal,Coral Pokémon,0.61,0.5,2,Weak Armor,,Cursed Body,410,60,55,100,65,100,30,,,,Fast,,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,2,1,Ghost,,2,Water 1,Water 3
223,Remoraid,Normal,Jet Pokémon,0.61,12.0,3,Hustle,Sniper,Moody,300,35,65,35,65,35,65,190.0,70.0,60.0,Medium Fast,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,Water,,2,Water 1,Water 2
224,Octillery,Normal,Jet Pokémon,0.89,28.5,3,Suction Cups,Sniper,Moody,480,75,105,75,105,75,45,75.0,70.0,168.0,Medium Fast,50.0,20.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,Water,,2,Water 1,Water 2
225,Delibird,Normal,Delivery Pokémon,0.89,16.0,3,Vital Spirit,Hustle,Insomnia,330,45,55,45,65,45,75,45.0,70.0,116.0,Fast,50.0,20.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,2,2,Ice,Flying,2,Field,Water 1
226,Mantine,Normal,Kite Pokémon,2.11,220.0,3,Swift Swim,Water Absorb,Water Veil,485,85,40,70,80,140,70,25.0,70.0,170.0,Slow,50.0,25.0,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,2,2,Water,Flying,1,Water 1,
227,Skarmory,Normal,Armor Bird Pokémon,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25.0,70.0,163.0,Slow,50.0,25.0,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5,2,2,Steel,Flying,1,Flying,
228,Houndour,Normal,Dark Pokémon,0.61,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120.0,35.0,66.0,Slow,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,2,2,Dark,Fire,1,Field,
229,Houndoom,Normal,Dark Pokémon,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45.0,35.0,175.0,Slow,50.0,20.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,2,2,Dark,Fire,1,Field,
229,Mega Houndoom,Normal,Dark Pokémon,1.91,49.5,1,Solar Power,,,600,75,90,90,140,90,115,45.0,35.0,210.0,Slow,50.0,20.0,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,2,2,Dark,Fire,1,Field,
230,Kingdra,Normal,Dragon Pokémon,1.8,152.0,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45.0,70.0,243.0,Medium Fast,50.0,20.0,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,2,2,Water,Dragon,2,Dragon,Water 1
231,Phanpy,Normal,Long Nose Pokémon,0.51,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,120.0,70.0,66.0,Medium Fast,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2,1,Ground,,1,Field,
232,Donphan,Normal,Armor Pokémon,1.09,120.0,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60.0,70.0,175.0,Medium Fast,50.0,20.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2,1,Ground,,1,Field,
233,Porygon2,Normal,Virtual Pokémon,0.61,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45.0,70.0,180.0,Medium Fast,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Mineral,
234,Stantler,Normal,Big Horn Pokémon,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45.0,70.0,163.0,Slow,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Field,
235,Smeargle,Normal,Painter Pokémon,1.19,58.0,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45.0,70.0,88.0,Fast,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Field,
236,Tyrogue,Normal,Scuffle Pokémon,0.71,21.0,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75.0,70.0,42.0,Medium Fast,100.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,2,1,Fighting,,1,Undiscovered,
237,Hitmontop,Normal,Handstand Pokémon,1.4,48.0,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45.0,70.0,159.0,Medium Fast,100.0,25.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,2,1,Fighting,,1,Human-Like,
238,Smoochum,Normal,Kiss Pokémon,0.41,6.0,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45.0,70.0,61.0,Medium Fast,0.0,25.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2,2,Ice,Psychic,1,Undiscovered,
239,Elekid,Normal,Electric Pokémon,0.61,23.5,2,Static,,Vital Spirit,360,45,63,37,65,55,95,45.0,70.0,72.0,Medium Fast,75.0,25.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,Electric,,1,Undiscovered,
240,Magby,Normal,Live Coal Pokémon,0.71,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,45.0,70.0,73.0,Medium Fast,75.0,25.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2,1,Fire,,1,Undiscovered,
241,Miltank,Normal,Milk Cow Pokémon,1.19,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45.0,70.0,172.0,Slow,0.0,20.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Field,
242,Blissey,Normal,Happiness Pokémon,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30.0,140.0,608.0,Fast,0.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2,1,Normal,,1,Fairy,
243,Raikou,Sub Legendary,Thunder Pokémon,1.91,178.0,2,Pressure,,Inner Focus,580,90,85,75,115,100,115,3.0,35.0,261.0,Slow,,80.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,Electric,,1,Undiscovered,
244,Entei,Sub Legendary,Volcano Pokémon,2.11,198.0,2,Pressure,,Inner Focus,580,115,115,85,90,75,100,3.0,35.0,261.0,Slow,,80.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,2,1,Fire,,1,Undiscovered,
245,Suicune,Sub Legendary,Aurora Pokémon,2.01,187.0,2,Pressure,,Inner Focus,580,100,75,115,90,115,85,3.0,35.0,261.0,Slow,,80.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,Water,,1,Undiscovered,
246,Larvitar,Normal,Rock Skin Pokémon,0.61,72.0,2,Guts,,Sand Veil,300,50,64,50,45,50,41,45.0,35.0,60.0,Slow,50.0,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2,2,Rock,Ground,1,Monster,
247,Pupitar,Normal,Hard Shell Pokémon,1.19,152.0,1,Shed Skin,,,410,70,84,70,65,70,51,45.0,35.0,144.0,Slow,50.0,40.0,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,2,2,Rock,Ground,1,Monster,
248,Tyranitar,Normal,Armor Pokémon,2.01,202.0,2,Sand Stream,,Unnerve,600,100,134,110,95,100,61,45.0,35.0,270.0,Slow,50.0,40.0,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2,2,Rock,Dark,1,Monster,
248,Mega Tyranitar,Normal,Armor Pokémon,2.49,255.0,1,Sand Stream,,,700,100,164,150,95,120,71,45.0,35.0,315.0,Slow,50.0,40.0,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2,2,Rock,Dark,1,Monster,
